order_id,order_date,ship_date,ship_mode,customer_id,product_id,quantity,sales,discount,profit
CA-2024-100000,2024-12-10,2024-12-17,Standard Class,CG-10492,OFF-PA-10002365,7,2522.17,0.0,-64.08
CA-2021-100001,2021-09-12,2021-09-16,Standard Class,CG-10040,TEC-AC-10003027,5,793.49,0.15,-13.1
CA-2021-100002,2021-07-05,2021-07-09,Second Class,CG-10318,TEC-PH-10002075,2,766.96,0.0,-69.4
CA-2021-100003,2021-09-16,2021-09-17,Standard Class,CG-10492,TEC-AC-10003027,7,527.72,0.1,-30.33
CA-2021-100004,2021-03-22,2021-03-29,Second Class,CG-10158,FUR-BO-10001798,5,62.33,0.15,-8.8
CA-2023-100005,2023-09-13,2023-09-17,Standard Class,CG-10114,OFF-PA-10002365,3,869.34,0.2,-210.63
CA-2024-100006,2024-08-13,2024-08-16,Second Class,CG-10035,TEC-AC-10003027,4,287.07,0.0,60.86
CA-2024-100007,2024-11-03,2024-11-10,Standard Class,CG-10098,TEC-AC-10003027,7,873.31,0.1,1.54
CA-2021-100008,2021-03-09,2021-03-10,Second Class,CG-10247,FUR-CH-10004218,3,964.73,0.0,55.4
CA-2023-100009,2023-07-12,2023-07-18,Second Class,CG-10123,TEC-CO-10001798,4,1286.84,0.0,106.18
CA-2021-100010,2021-12-25,2021-12-27,Standard Class,CG-10405,TEC-MA-10001148,1,94.05,0.1,3.74
CA-2023-100011,2023-04-09,2023-04-16,Same Day,CG-10069,TEC-PH-10004977,4,1674.64,0.0,665.63
CA-2021-100012,2021-01-18,2021-01-25,Second Class,CG-10100,TEC-PH-10002075,6,2096.35,0.2,900.38
CA-2021-100013,2021-04-08,2021-04-14,Standard Class,CG-10394,FUR-CH-10000454,1,278.56,0.0,41.86
CA-2023-100014,2023-12-17,2023-12-22,Standard Class,CG-10306,TEC-MA-10001148,1,280.29,0.15,22.63
CA-2024-100015,2024-09-17,2024-09-24,Standard Class,CG-10272,OFF-AR-10002867,1,169.2,0.0,-16.29
CA-2024-100016,2024-10-09,2024-10-13,First Class,CG-10366,TEC-AC-10003027,6,483.76,0.2,7.13
CA-2023-100017,2023-05-12,2023-05-17,Standard Class,CG-10392,OFF-LA-10000240,4,431.15,0.1,190.19
CA-2021-100018,2021-05-10,2021-05-15,Second Class,CG-10463,OFF-AP-10002311,5,780.91,0.0,64.59
CA-2023-100019,2023-01-18,2023-01-21,Same Day,CG-10070,OFF-ST-10000760,1,200.97,0.15,12.56
CA-2023-100020,2023-08-09,2023-08-11,Standard Class,CG-10422,OFF-ST-10000760,1,358.98,0.1,-54.15
CA-2021-100021,2021-07-13,2021-07-14,Standard Class,CG-10093,TEC-MA-10001148,4,268.82,0.0,10.77
CA-2022-100022,2022-02-13,2022-02-16,Standard Class,CG-10143,OFF-ST-10000760,1,278.4,0.0,57.33
CA-2022-100023,2022-10-23,2022-10-25,Standard Class,CG-10206,FUR-BO-10001798,3,459.92,0.15,6.66
CA-2023-100024,2023-05-18,2023-05-20,Standard Class,CG-10228,OFF-LA-10000240,1,234.23,0.0,10.52
CA-2024-100025,2024-05-03,2024-05-10,First Class,CG-10048,OFF-EN-10001990,3,695.16,0.15,-35.2
CA-2023-100026,2023-07-13,2023-07-15,Standard Class,CG-10011,TEC-PH-10002075,7,3090.83,0.0,189.95
CA-2024-100027,2024-03-05,2024-03-08,Standard Class,CG-10268,FUR-TA-10000577,1,11.0,0.1,3.74
CA-2022-100028,2022-12-02,2022-12-04,Same Day,CG-10493,FUR-BO-10001798,7,1514.24,0.0,-323.74
CA-2024-100029,2024-02-27,2024-03-02,Same Day,CG-10492,OFF-ST-10000760,1,154.82,0.2,15.74
CA-2022-100030,2022-01-14,2022-01-21,First Class,CG-10045,TEC-AC-10003832,4,1549.96,0.0,-84.25
CA-2022-100031,2022-04-26,2022-04-30,Standard Class,CG-10431,OFF-BI-10003910,7,615.9,0.0,-140.58
CA-2021-100032,2021-10-20,2021-10-26,Standard Class,CG-10488,TEC-AC-10003027,5,385.6,0.1,-25.28
CA-2022-100033,2022-03-20,2022-03-26,Standard Class,CG-10200,OFF-AR-10002867,4,530.49,0.2,79.77
CA-2024-100034,2024-08-08,2024-08-12,Standard Class,CG-10233,FUR-BO-10001798,3,60.33,0.1,-9.85
CA-2022-100035,2022-05-18,2022-05-19,Second Class,CG-10339,FUR-CH-10004218,3,1139.19,0.1,281.67
CA-2024-100036,2024-12-21,2024-12-25,Standard Class,CG-10403,TEC-MA-10001148,3,209.17,0.1,25.79
CA-2022-100037,2022-05-23,2022-05-24,Standard Class,CG-10224,TEC-CO-10001798,1,122.74,0.0,-21.38
CA-2022-100038,2022-02-05,2022-02-11,Standard Class,CG-10463,OFF-AR-10002867,1,129.31,0.0,1.94
CA-2022-100039,2022-05-15,2022-05-18,Same Day,CG-10490,OFF-AR-10002867,3,48.65,0.0,13.61
CA-2024-100040,2024-09-18,2024-09-19,Second Class,CG-10044,OFF-BI-10003910,4,966.65,0.0,282.03
