product_id,product_name,category,sub_category
FUR-BO-10001798,Bush Somerset Collection Bookcase,Furniture,Bookcases
FUR-CH-10000454,Hon Deluxe Fabric Upholstered Stacking Chairs,Furniture,Chairs
FUR-CH-10004218,Global Fabric Manager's Chair,Furniture,Chairs
FUR-FU-10001487,Eldon Expressions Wood and Plastic Desk Accessories,Furniture,Furnishings
FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,Furniture,Tables
FUR-TA-10004575,Hon 5100 Series Wood Tables,Furniture,Tables
OFF-AP-10002311,Holmes Replacement Filter for HEPA Air Cleaner,Office Supplies,Appliances
OFF-AR-10002867,Newell 322,Office Supplies,Art
OFF-BI-10003910,DXL Angle-D Binders with Locking Rings,Office Supplies,Binders
OFF-BI-10004632,Ibico Hi-Tech Manual Binding System,Office Supplies,Binders
OFF-EN-10001990,Staple envelope,Office Supplies,Envelopes
OFF-LA-10000240,Self-Adhesive Address Labels for Typewriters,Office Supplies,Labels
OFF-PA-10002365,Xerox 1967,Office Supplies,Paper
OFF-ST-10000760,Eldon Fold 'N Roll Cart System,Office Supplies,Storage
TEC-AC-10003027,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,Technology,Accessories
TEC-AC-10003832,Logitech G19 Gaming Keyboard,Technology,Accessories
TEC-CO-10001798,Canon PC1080F Personal Copier,Technology,Copiers
TEC-MA-10001148,Okidata C610n Laser Printer,Technology,Machines
TEC-PH-10002075,Samsung Galaxy Note 4,Technology,Phones
TEC-PH-10004977,GE 30524EE4,Technology,Phones
